,x_values,14f,7f,KDE's sum,KDE's top,General KDE
0,-10000.0,7.530815166629543e-09,1.575587186274924e-08,2.3286687029378783e-08,1.575587186274924e-08,2.3900806448106426e-09
1,-9409.018036072144,1.1688868090352987e-08,2.3713644407737006e-08,3.5402512498089995e-08,2.3713644407737006e-08,4.144547012888672e-09
2,-8818.036072144288,1.7825442521475693e-08,3.5120449911616325e-08,5.294589243309202e-08,3.5120449911616325e-08,7.028008177241022e-09
3,-8227.054108216433,2.670947727273571e-08,5.118687908562511e-08,7.789635635836081e-08,5.118687908562511e-08,1.1654771744183316e-08
4,-7636.072144288577,3.9325113658238915e-08,7.342239969661612e-08,1.1274751335485504e-07,7.342239969661612e-08,1.8902534916735557e-08
5,-7045.090180360721,5.689570048253697e-08,1.0365935806794131e-07,1.6055505855047826e-07,1.0365935806794131e-07,2.998560005032909e-08
6,-6454.108216432865,8.089519645933258e-08,1.4405949324313215e-07,2.2495468970246473e-07,1.4405949324313215e-07,4.652831118366977e-08
7,-5863.12625250501,1.130402668983111e-07,1.970958605509922e-07,3.101361274493033e-07,1.970958605509922e-07,7.062746061736772e-08
8,-5272.144288577154,1.5525635493110566e-07,2.655035828650587e-07,4.207599377961644e-07,2.655035828650587e-07,1.0488826665248537e-07
9,-4681.162324649298,2.0961211348232832e-07,3.521945178613426e-07,5.61806631343671e-07,3.521945178613426e-07,1.5241543279885e-07
10,-4090.1803607214424,2.7821906559342123e-07,4.601338682550119e-07,7.383529338484331e-07,4.601338682550119e-07,2.1674006974309632e-07
11,-3499.1983967935867,3.63097284332445e-07,5.921808930913647e-07,9.552781774238097e-07,5.921808930913647e-07,3.016662404326771e-07
12,-2908.216432865731,4.6601304048959795e-07,7.509008787741189e-07,1.2169139192637169e-06,7.509008787741189e-07,4.110285917570452e-07
13,-2317.234468937875,5.883002161717892e-07,9.383608179232088e-07,1.526661034094998e-06,9.383608179232088e-07,5.483651997118832e-07
14,-1726.2525050100194,7.306829584497392e-07,1.1559260269979388e-06,1.886608985447678e-06,1.1559260269979388e-06,7.165264235257993e-07
15,-1135.2705410821636,8.931214427634879e-07,1.4040783032499448e-06,2.2971997460134326e-06,1.4040783032499448e-06,9.172588720613718e-07
16,-544.2885771543079,1.0747045571818927e-06,1.6822773156726915e-06,2.756981872854584e-06,1.6822773156726915e-06,1.1508198807346215e-06
17,46.6933867735479,1.2736118062848672e-06,1.988885109500318e-06,3.262496915785185e-06,1.988885109500318e-06,1.4156878013904891e-06
18,637.6753507014037,1.4871612095874728e-06,2.3211686504172115e-06,3.808329860004684e-06,2.3211686504172115e-06,1.70843278831131e-06
19,1228.6573146292594,1.7119505508550711e-06,2.675387542840995e-06,4.387338093696066e-06,2.675387542840995e-06,2.023798938350232e-06
20,1819.6392785571152,1.94408694301992e-06,3.046964288133095e-06,4.991051231153015e-06,3.046964288133095e-06,2.3550215081872294e-06
21,2410.621242484971,2.179486006110374e-06,3.4307240438569522e-06,5.610210049967326e-06,3.4307240438569522e-06,2.694365636526404e-06
22,3001.6032064128267,2.4142092703533958e-06,3.82118142487101e-06,6.235390695224406e-06,3.82118142487101e-06,3.033831843093246e-06
23,3592.5851703406825,2.644799146739164e-06,4.212845066404068e-06,6.857644213143232e-06,4.212845066404068e-06,3.365936979270928e-06
24,4183.567134268538,2.8685670725997255e-06,4.600507740827602e-06,7.4690748134273275e-06,4.600507740827602e-06,3.684455976337373e-06
25,4774.549098196394,3.0837935559173287e-06,4.97949147284191e-06,8.063285028759239e-06,4.97949147284191e-06,3.985006451239759e-06
26,5365.53106212425,3.2898089478189112e-06,5.345823242335067e-06,8.635632190153977e-06,5.345823242335067e-06,4.265377815533999e-06
27,5956.5130260521055,3.4869396788143745e-06,5.696326607292904e-06,9.183266286107278e-06,5.696326607292904e-06,4.525546704187181e-06
28,6547.494989979961,3.6763240138295066e-06,6.028626368448745e-06,9.70495038227825e-06,6.028626368448745e-06,4.767374012891595e-06
29,7138.476953907819,3.859620934790679e-06,6.341075304795601e-06,1.0200696239586279e-05,6.341075304795601e-06,4.9940348162129975e-06
30,7729.458917835673,4.038652179760561e-06,6.632622097508683e-06,1.0671274277269245e-05,6.632622097508683e-06,5.2092791782109534e-06
31,8320.440881763527,4.2150278693812754e-06,6.902646249260453e-06,1.1117674118641729e-05,6.902646249260453e-06,5.41664954513114e-06
32,8911.422845691384,4.389808716765531e-06,7.150788160348008e-06,1.1540596877113539e-05,7.150788160348008e-06,5.618783597475816e-06
33,9502.404809619242,4.563252156232323e-06,7.376800396065566e-06,1.1940052552297889e-05,7.376800396065566e-06,5.8169103788388145e-06
